,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.003335248,0.019293943,0.041446331,0.020756861,0.021753954,0.069181912,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,HnRNPL-L,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.806,0.575,0.281481481,0.235158541,0.542857143,0.19,,,,,,,,,,,,,,,
2,fold_2,0.797,0.561875,0.250922509,0.192738364,0.478873239,0.17,,,,,,,,,,,,,,,
3,fold_3,0.8,0.565625,0.259259259,0.205763723,0.5,0.175,,,,,,,,,,,,,,,
4,fold_4,0.806,0.580625,0.297101449,0.243397959,0.539473684,0.205,,,,,,,,,,,,,,,
5,fold_5,0.815,0.605,0.355400697,0.298046668,0.586206897,0.255,,,,,,,,,,,,,,,
6,mean,0.8048,0.577625,0.288833079,0.235021051,0.529482193,0.199,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006906519,0.017009878,0.041429101,0.040884706,0.041613931,0.034168699,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,IGF2BP1-3,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.807740687,0.768669983,0.691698991,0.554652944,0.734189723,0.653857436,,,,,,,,,,,,,,,
2,fold_2,0.821480406,0.785588892,0.715409533,0.587555619,0.754637162,0.680058651,,,,,,,,,,,,,,,
3,fold_3,0.804257378,0.773816879,0.697563163,0.553171154,0.711280488,0.684364916,,,,,,,,,,,,,,,
4,fold_4,0.808998549,0.775977111,0.701090248,0.561620777,0.724796493,0.67888563,,,,,,,,,,,,,,,
5,fold_5,0.814513788,0.779607233,0.706566662,0.572505787,0.738796415,0.677031388,,,,,,,,,,,,,,,
6,mean,0.811398162,0.77673202,0.702465719,0.565901256,0.732740056,0.674839604,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006735816,0.006339862,0.009030634,0.014312877,0.016139064,0.012035319,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,MOV10,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.801801802,0.604333542,0.357142857,0.268900497,0.509259259,0.275,,,,,,,,,,,,,,,
2,fold_2,0.792792793,0.593078849,0.334405145,0.237028961,0.468468468,0.26,,,,,,,,,,,,,,,
3,fold_3,0.805805806,0.580597622,0.297101449,0.243294877,0.539473684,0.205,,,,,,,,,,,,,,,
4,fold_4,0.7997998,0.621824155,0.393939394,0.289781214,0.5,0.325,,,,,,,,,,,,,,,
5,fold_5,0.806806807,0.607462453,0.363036304,0.28281505,0.533980583,0.275,,,,,,,,,,,,,,,
6,mean,0.801401401,0.601459324,0.34912503,0.26436412,0.510236399,0.268,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.005600241,0.015527943,0.036018274,0.023442313,0.028587164,0.042953463,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,mut-FUS,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.902,0.816875,0.733695652,0.678049905,0.803571429,0.675,,,,,,,,,,,,,,,
