,Test,=,==,===,====,=====,======,,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
8,mean_std,0.006510355,0.005305299,0.111300855,0.068568787,0.057334462,0.107319616,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,IGF2BP1-3,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.806,0.80063125,0.312056738,0.25149006,0.536585366,0.22,,,,,,,,,,,,,,,,
2,fold_2,0.814,0.80775625,0.340425532,0.287937894,0.585365854,0.24,,,,,,,,,,,,,,,,
3,fold_3,0.815,0.80778125,0.350877193,0.295824363,0.588235294,0.25,,,,,,,,,,,,,,,,
4,fold_4,0.804,0.802875,0.319444444,0.250622232,0.522727273,0.23,,,,,,,,,,,,,,,,
5,fold_5,0.801,0.8033375,0.320819113,0.244463053,0.505376344,0.235,,,,,,,,,,,,,,,,
6,mean,0.808,0.80447625,0.328724604,0.26606752,0.547658026,0.235,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.006204837,0.003175146,0.016233336,0.023883024,0.037417515,0.01118034,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,MOV10,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.824,0.84428125,0.482352941,0.389063532,0.585714286,0.41,,,,,,,,,,,,,,,,
2,fold_2,0.836,0.84880625,0.511904762,0.428835776,0.632352941,0.43,,,,,,,,,,,,,,,,
3,fold_3,0.835,0.85086875,0.476190476,0.407495481,0.652173913,0.375,,,,,,,,,,,,,,,,
4,fold_4,0.833,0.849075,0.537396122,0.440779204,0.602484472,0.485,,,,,,,,,,,,,,,,
5,fold_5,0.827,0.852925,0.495626822,0.402773309,0.594405594,0.425,,,,,,,,,,,,,,,,
6,mean,0.831,0.84919125,0.500694225,0.41378946,0.613426241,0.425,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.005244044,0.003202528,0.024673976,0.020779673,0.027879481,0.039843444,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,mut-FUS,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.856,0.87530625,0.617021277,0.530434093,0.659090909,0.58,,,,,,,,,,,,,,,,
2,fold_2,0.855,0.8749125,0.589235127,0.509739922,0.679738562,0.52,,,,,,,,,,,,,,,,
3,fold_3,0.853,0.87415625,0.631578947,0.539764699,0.633165829,0.63,,,,,,,,,,,,,,,,
4,fold_4,0.853,0.8605,0.56379822,0.491497172,0.693430657,0.475,,,,,,,,,,,,,,,,
5,fold_5,0.855,0.87520625,0.631043257,0.540981554,0.642487047,0.62,,,,,,,,,,,,,,,,
6,mean,0.8544,0.87201625,0.606535366,0.522483488,0.661582601,0.565,,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,,
8,mean_std,0.001341641,0.006453528,0.029425898,0.02136926,0.025111249,0.066332496,,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,,
0,NSUN2,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,,
1,fold_1,0.82,0.7931125,0.461077844,0.368410823,0.574626866,0.385,,,,,,,,,,,,,,,,
