,Test,=,==,===,====,=====,======,,,,acc,auc,f1,mcc,precision,recall,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std
6,mean,0.8394,0.849755,0.535645372,0.45219479,0.641184658,0.465,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.009099451,0.007269516,0.023833144,0.021484142,0.050725672,0.052678269,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,ELVAL1-M,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.803,0.56698125,0.048309179,0.10794906,0.714285714,0.025,,,,,,,,,,,,,,,
2,fold_2,0.796,0.5704125,0.028571429,0.025125945,0.3,0.015,,,,,,,,,,,,,,,
3,fold_3,0.799,0.60681875,0.056338028,0.075039283,0.461538462,0.03,,,,,,,,,,,,,,,
4,fold_4,0.795,0.565075,0.037558685,0.030898528,0.307692308,0.02,,,,,,,,,,,,,,,
5,fold_5,0.795,0.6006625,0.104803493,0.092368328,0.413793103,0.06,,,,,,,,,,,,,,,
6,mean,0.7976,0.58199,0.055116163,0.066276229,0.439461917,0.03,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.003435113,0.020065813,0.029704994,0.036875267,0.168439334,0.01767767,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,EWSR1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.818,0.81449375,0.441717791,0.352569608,0.571428571,0.36,,,,,,,,,,,,,,,
2,fold_2,0.805,0.7989625,0.465753425,0.35023387,0.515151515,0.425,,,,,,,,,,,,,,,
3,fold_3,0.817,0.82139375,0.392026578,0.321907579,0.584158416,0.295,,,,,,,,,,,,,,,
4,fold_4,0.804,0.81270625,0.375796178,0.284760202,0.51754386,0.295,,,,,,,,,,,,,,,
5,fold_5,0.807,0.8029875,0.367213115,0.285431491,0.533333333,0.28,,,,,,,,,,,,,,,
6,mean,0.8102,0.81010875,0.408501417,0.31898055,0.544323139,0.331,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.006760178,0.009059216,0.043089723,0.033204419,0.031664029,0.060971305,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,FUS,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.818,0.8183625,0.420382166,0.33982433,0.578947368,0.33,,,,,,,,,,,,,,,
2,fold_2,0.8,0.80170625,0.350649351,0.260970077,0.5,0.27,,,,,,,,,,,,,,,
3,fold_3,0.821,0.84319375,0.478134111,0.381349197,0.573426573,0.41,,,,,,,,,,,,,,,
4,fold_4,0.813,0.81971875,0.378737542,0.305314405,0.564356436,0.285,,,,,,,,,,,,,,,
5,fold_5,0.818,0.8297875,0.389261745,0.322890246,0.591836735,0.29,,,,,,,,,,,,,,,
6,mean,0.814,0.82255375,0.403432983,0.322069651,0.561713422,0.317,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.008336666,0.015317953,0.048642404,0.044282792,0.035906659,0.056524331,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
,Test,=,==,===,====,=====,======,,,,,,,,,,,,,,,
0,hnRNPC-1,acc,auc,f1,mcc,precision,recall,,,,,,,,,,,,,,,
1,fold_1,0.862725451,0.912838346,0.620498615,0.54261275,0.695652174,0.56,,,,,,,,,,,,,,,
2,fold_2,0.865731463,0.908333333,0.629834254,0.553474862,0.703703704,0.57,,,,,,,,,,,,,,,
3,fold_3,0.876753507,0.911591479,0.672,0.598551711,0.72,0.63,,,,,,,,,,,,,,,
4,fold_4,0.880761523,0.893088972,0.648967552,0.593864669,0.791366906,0.55,,,,,,,,,,,,,,,
5,fold_5,0.877755511,0.890225564,0.657303371,0.59097137,0.75,0.585,,,,,,,,,,,,,,,
6,mean,0.872745491,0.903215539,0.645720758,0.575895073,0.732144557,0.579,,,,,,,,,,,,,,,
7, ,acc_std,auc_std,f1_std,mcc_std,precision_std,recall_std,,,,,,,,,,,,,,,
8,mean_std,0.007984658,0.010726526,0.020759544,0.025854899,0.039096579,0.031304952,,,,,,,,,,,,,,,
9, , , , , , , ,,,,,,,,,,,,,,,
